ID,Titolo,Posizione,Descrizione,Principi_Violati,Num_Valutatori,Severità,Valutatori
P1,Cursore non coerente su elementi cliccabili,Globale (vari elementi UI),"Su alcuni elementi interattivi il cursore del mouse non cambia aspetto (da freccia a puntatore/mano), riducendo la percezione della cliccabilità (affordance) dell'elemento.",4,1,2,
P2,Assenza notifica rischio annullamento visita,Dashboard,I partecipanti non vengono avvisati che l'iscrizione alla visita è solamente una prenotazione in caso il tour stesso venga effettuato (quindi abbia partecipanti a sufficienza).,1,2,3,
P3,"Semantica colore ""Proposed""",Homepage,"Il tag di stato ""Proposed"" utilizza il colore giallo, risultando visivamente associabile a un messaggio di avviso (warning) piuttosto che a uno stato informativo neutrale.","1, 2",2,2,"D,G"
P4,"Inconsistenza cromatica ""Proposed""",Homepage,"Il tag di stato ""Proposed"" presenta incostanza cromatica: appare giallo in alcune schermate e blu in altre, riducendo la consistenza interna dell'interfaccia.",4,3,2,"D, G, M"
P5,Chiarezza nota pagamento,Homepage,Il messaggio informativo relativo alle modalità di pagamento risulta ambiguo e di difficile comprensione per l'utente finale.,"5, 7",1,2,G
P6,Stile nota pagamento,Homepage,"Lo stile visivo della nota di pagamento manca di distinzione (contrasto/spaziatura) rispetto al testo circostante, riducendone la leggibilità.",2,2,2,"D,G"
P7,Ambiguità cromatica stati visita,Homepage (User Dashboard preview),"Gli stati ""Confirmed"" e ""Complete"" condividono la stessa codifica cromatica. Questa sovrapposizione impedisce di distinguere a colpo d'occhio una visita futura da una conclusa.","1, 4",3,1,"D, G, M"
P8,Mancanza feedback disponibilità,Homepage,"Assenza di notifiche o indicatori visivi sullo stato di saturazione delle visite (es. avvisi di ""ultimi posti disponibili"").",1,1,1,M
P9,"Ridondanza ""Visite confermate""",Homepage,"La sezione ""Visite confermate"" appare ridondante rispetto al flusso principale e di scarso valore informativo per l'utente, suggerendone la rimozione o riorganizzazione.",7,1,1,D
P10,Mancanza personalizzazione Homepage,Homepage,"La pagina principale non presenta messaggi di benvenuto o contenuti differenziati in base al ruolo dell'utente loggato (Volontario o Fruitore), rendendo l'esperienza generica.",2 (Corrispondenza tra sistema e mondo reale),1,1,
P11,Area cliccabile limitata,Homepage,L'accesso ai dettagli della visita è vincolato al solo pulsante dedicato; la mancata interattività del titolo viola le aspettative standard di navigazione web.,5,1,2,G
P12,Gerarchia visiva debole,Homepage,"Titolo e sottotitolo mancano della necessaria evidenza grafica, compromettendo la gerarchia visiva rispetto al corpo del contenuto.","1, 2, 4",1,1,D
